A. JÚNIOR, JAIME
HANSTEIN, MARIANA
HARLOW, ROSIE
HARMER, WENDY
HARRIS, CHRIS E RAY
HARRIS, ROBERT J.
HARRISON, MICHAEL 
HAUFF, WILHELM
HAURÉLIO, MARCO
HAWKINS, JACQUI E COLIN
HAWTHORNE, NATHANIEL
HECK, EGON 
HEINE, EVELYN
HEINE, HELME
HEINRICH, CHRISTOPH
HEITZ, BRUNO
HELENO, GUIDO
HELLARD, SUSAN
HELLER, AGNES
HELMUT, HEILAND 
HENDRICKSON, JANIS
HENRIQUES, RACHEL
HÉRBARO, JEAN
HERBERT, JANIS
HERCULANO, ALEXANDRE
HERNANDES, RENY
HESSE, HERMANN
HETZEL, BIA
HETZEL, GRAZIELA BOZANO
HILGENHEGER, NORBERT
HIMES, CHESTER
HIPÓLIDE, MÁRCIA CRISTINA
HIRATSUKA, LÚCIA
HOBSBAWM, ERIC J.
HOFFMANN, JUSSARA
HOHLFELDT, ANTÔNIO
HOLANDA, ARLENE
HOLANDA, AURÉLIO BUARQUE
HOLEINONE, PETER
HOLLANDA, CHICO BUARQUE DE
HOLZER, HANS
HOMEM, HOMERO
HOMERO
HONG, CHEN JIANG
HONNEF, KLAUS
HONORA, MARCIA 
HOPKINS, GERARD MANLEY
HORTA, JOSÉ SILVÉRIO BAIA
HORTA, NINA
HUBERMAN, LEO
IACOCCA, LILIANA 
IACOCCA, MICHELE
ILELIS, NEIR
IMENES, LUIZ MÁRCIO
IMPEY, ROSE
ÍNDIGO
INGPEN, ROBERT
IÓRIO, SUELY APARECIDA
IRVING, WASHINGTON
ISAAC, JULES
ÍSOLA, LEDA 
IVANISSEVICH, ALICIA
IVANOVITCH, LAIR 
IVIC, IVAN
JACINTHO, ROQUE
JACOB, DIONISIO
JACOBUCCI, ARY MEIRELLES
JAF, IVAN
JAHARA-PRADIPTO, MARIO
JAHN, HEILAND 
JAHN, HELOISA 
JAMES, BARBARA
JAMES, HENRY
JANULEWICZ, MIKE
JASSANÃ
JAZENUCH, BERNARDO
JOLIBERT, BERNARD
JOLIBERT, JOSETTE
JONAS, ANNE
JONAS, ANTONIO 
JONGEWARD, JAMES
JORDACK, DORA
JORGE, FERNANDO
JOSÉ, ELIAS
JOSÉ, GANYMÉDES
JOSÉ, SEVERINO
JÚNIOR, GESIEL
JUNQUEIRA, SÔNIA
JUNQUEYRA, BETO
